quarter_key,call_date,event_2330,alpha,beta_twii,n_est,TW_CAR_0_0,TW_CAR_m1p1,TW_CAR_0p1,TW_CAR_m1p3,TW_CAR_m1p5,TSM_CAR_m1p1,TSM_CAR_0_0,TSM_CAR_0p1,TSM_CAR_m1p3,TSM_CAR_m1p5
2020_Q3,2020-10-15,2020-10-16,0.0012484480149975064,1.3897164658488326,121,-0.0016877955725186286,-0.005701872399380572,-0.0012228878989664384,-0.014630608833271825,-0.02163989549676284,-0.035117,-0.007137,-0.026244,-0.013042,-0.023433
2020_Q4,2021-01-14,2021-01-15,0.0010312241537515103,1.584976309143311,121,0.023333952661172365,0.016523537914454905,0.03273159948122584,0.05947328726634616,0.04030038897219747,0.020668,0.061613,0.05738,0.033248,0.019861
2021_Q1,2021-04-15,2021-04-16,-0.0006722157344412345,1.4762141048498818,121,-0.020963004214367024,-0.047090885463366414,-0.040753860044144816,-0.05882169513848423,-0.04908494384016898,-0.0394,-0.038093,-0.040087,-0.055488,-0.05441
2021_Q2,2021-07-15,2021-07-16,-0.0006646638439548758,1.1156244776918234,121,-0.03145720537190008,-0.04555260792589016,-0.03606858752014242,-0.018267380435339445,-0.02412669348219639,-0.04403,-0.047393,-0.046791,-0.034443,-0.048455
2021_Q3,2021-10-14,2021-10-15,-0.000357901209144176,0.8582164350452476,121,0.02684911629172096,0.01621088810304128,0.014412999581256171,0.021166452765726994,0.02520267585132377,0.023088,0.005838,0.018877,0.031584,0.020796
2021_Q4,2022-01-13,2022-01-14,0.00027298014089269815,1.0276655173985152,121,0.01824138354264568,0.02531953668814813,0.027518691507394846,-0.0014608795178893009,-0.0034444514680486878,0.100437,0.068133,0.078953,0.06238,0.046682
2022_Q1,2022-04-14,2022-04-15,-0.00011947273828428954,1.2250744568144671,121,-0.0019245610504743556,0.008087270497931093,0.0040026170957961835,0.0062443152335601715,-0.005825706670435421,0.017519,-0.014561,-0.010287,0.001753,0.022711
2022_Q2,2022-07-14,2022-07-15,0.00011147584766973373,1.246315682350571,121,0.02705435758823603,0.018105101469573025,0.01855698695066174,0.015791521592402512,0.01341149982726687,0.07247,0.033578,0.037342,0.061598,0.065339
2022_Q3,2022-10-13,2022-10-14,0.0005958921259917162,1.304031838651649,121,0.010134437635423696,0.009310289924283729,-0.01077064824773797,0.003795137200564595,0.0033976126243008154,0.012448,0.013458,-0.002565,-0.026294,-0.010055
2022_Q4,2023-01-12,2023-01-13,0.00016965831607402556,1.643647144888848,121,0.017260182576232942,0.021848207232669836,0.01568354243833637,0.03468269394847093,0.018566386949854734,0.046088,0.060061,0.053724,0.097215,0.102889
2023_Q1,2023-04-20,2023-04-21,-0.0005399856304115025,1.8643810026611494,121,0.00904832927565208,0.012771364702763539,-0.0010929202697360727,0.013133832004670077,0.01075100383114732,-0.030795,0.027904,-0.01877,-0.054099,-0.058853
2023_Q2,2023-07-20,2023-07-21,-0.000295837891462916,1.7653516650448826,121,-0.01871832569063204,-0.030439352421888596,-0.02229564020653111,-0.028806384759993857,-0.03981601287819306,-0.05449,-0.043341,-0.050285,-0.033047,-0.036503
2023_Q3,2023-10-19,2023-10-20,-0.00020570714060937244,1.4652885209071926,121,0.019590468524237327,0.02535319107915977,0.015090119763310265,0.016085189453350003,0.01635856030145308,0.054708,0.049849,0.050609,0.050276,0.042957
2023_Q4,2024-01-18,2024-01-19,-0.00030563473439759026,1.3648538135727584,121,0.028985368435480892,0.026084576717462834,0.018979826083314947,0.02364594520086222,0.042190553518743255,0.100196,0.085717,0.078641,0.093969,0.107342
2024_Q1,2024-04-18,2024-04-19,0.00025606934763980663,1.7932864877425179,121,0.000957395671466188,-0.00737325006908693,0.0006783948696766247,-0.019343969817806714,-0.020003173374361572,-0.065663,-0.046721,-0.068403,-0.058858,-0.031093
2024_Q2,2024-07-18,2024-07-19,0.0005549520005845948,1.7385479809415925,121,0.003940561270300506,0.02030637802330098,0.017972328568677642,0.014797199860680621,0.022901793750124324,-0.066424,0.015592,-0.010174,-0.063752,-0.073032
2024_Q3,2024-10-17,2024-10-18,0.0008722939402970637,1.441654402131349,121,0.020332788685495845,0.0029419283828362444,0.01606863668915545,-0.009246125090652455,-0.00717866458340204,0.055602,0.097654,0.063987,0.049184,0.062771
2024_Q4,2025-01-16,2025-01-17,0.0009749941016308656,1.4343569686337625,121,0.004938362292659704,0.000664677890311164,-0.003394299574858147,-0.0038141039665182193,0.004707074451561287,0.003711,0.042123,0.009173,0.03243,0.022295
2025_Q1,2025-04-17,2025-04-18,0.00039221260212553315,1.481397185773657,121,-0.0011628895300221358,0.0029464234098374852,0.002858735461263773,0.006847585512624486,0.005667221913235208,0.00458,-0.001348,0.007964,0.011019,0.0164
2025_Q2,2025-07-17,2025-07-18,0.000385628531854207,1.1929344095876189,121,0.007810635649980498,0.0012386569242769123,0.005267811989315462,-0.0027901626307648636,-0.005901022433340706,0.00215,0.024988,0.004547,-0.025531,-0.008775
2025_Q3,2025-10-16,2025-10-17,2.9213988438857434e-06,1.3291186019790162,121,-0.006962762997082497,-0.009565549332384148,-0.00507971646433409,-0.021189666572072517,-0.024020272290210695,-0.015081,-0.008889,-0.03563,-0.037257,-0.056423
2025_Q4,2026-01-15,2026-01-16,-7.903478900009687e-06,1.4417410417628174,121,0.0016054976516058812,-0.003051828616032857,0.0025229670740549957,0.0035840606528858036,-0.012064935834068381,0.03643,0.038274,0.040903,0.002686,0.01688
